priority_rank,industry,company,scored_date,score_basis,industry_growth_score,company_strength_score,stability_score,compensation_score,career_capital_score,new_grad_access_score,culture_clarity_score,work_life_balance_score,transferability_score,disclosure_score,comparison_value_score,overall_score,advantage_tags,caution_tags,scoring_notes
100,不動産・インフラ,東京ガス,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"資産性, 社会インフラ, 大規模案件","景気・金利影響, 配属地, 規制対応",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
101,IT・SI・通信,SCSK,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
102,IT・SI・通信,TIS,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
103,IT・SI・通信,BIPROGY,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
104,IT・SI・通信,伊藤忠テクノソリューションズ,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
105,IT・SI・通信,日本IBM,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
106,IT・SI・通信,日本マイクロソフト,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
107,IT・SI・通信,オービック,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
108,IT・SI・通信,GMOインターネットグループ,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
109,コンサル,日本総合研究所,2026-05-13,initial_hypothesis,5,4,3,5,5,4,3,2,5,4,4,4.12,"成長環境, 高待遇, 転職市場価値","労働負荷, 選考難度, 適性差","初期仮説。 強み: industry_growth, compensation, career_capital, transferability。 要確認: work_life_balance。 新卒マイページは公式確認待ち。"
110,コンサル,三菱UFJリサーチ&コンサルティング,2026-05-13,initial_hypothesis,5,4,3,5,5,4,3,2,5,4,4,4.12,"成長環境, 高待遇, 転職市場価値","労働負荷, 選考難度, 適性差","初期仮説。 強み: industry_growth, compensation, career_capital, transferability。 要確認: work_life_balance。 新卒マイページは公式確認待ち。"
111,コンサル,三菱総合研究所,2026-05-13,initial_hypothesis,5,4,3,5,5,4,3,2,5,4,4,4.12,"成長環境, 高待遇, 転職市場価値","労働負荷, 選考難度, 適性差","初期仮説。 強み: industry_growth, compensation, career_capital, transferability。 要確認: work_life_balance。 新卒マイページは公式確認待ち。"
112,コンサル,ドリームインキュベータ,2026-05-13,initial_hypothesis,5,4,3,5,5,4,3,2,5,4,4,4.12,"成長環境, 高待遇, 転職市場価値","労働負荷, 選考難度, 適性差","初期仮説。 強み: industry_growth, compensation, career_capital, transferability。 要確認: work_life_balance。 新卒マイページは公式確認待ち。"
113,金融,りそな銀行,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
114,金融,ゆうちょ銀行,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
115,金融,かんぽ生命保険,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
116,金融,明治安田生命保険,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
117,金融,住友生命保険,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
118,金融,オリックス,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
119,金融,三井住友カード,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
120,金融,日本政策投資銀行,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
121,自動車・機械・精密,ヤマハ発動機,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
122,自動車・機械・精密,川崎重工業,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
123,自動車・機械・精密,IHI,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
124,自動車・機械・精密,三菱重工業,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
125,自動車・機械・精密,島津製作所,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
126,自動車・機械・精密,セイコーエプソン,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
127,電機・半導体,ルネサスエレクトロニクス,2026-05-13,initial_hypothesis,5,4,4,4,4,4,3,3,4,4,4,3.96,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争",初期仮説。 強み: industry_growth。 新卒マイページは公式確認待ち。
128,電機・半導体,ローム,2026-05-13,initial_hypothesis,5,4,4,4,4,4,3,3,4,4,4,3.96,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争",初期仮説。 強み: industry_growth。 新卒マイページは公式確認待ち。
129,電機・半導体,SCREENホールディングス,2026-05-13,initial_hypothesis,5,4,4,4,4,4,3,3,4,4,4,3.96,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争",初期仮説。 強み: industry_growth。 新卒マイページは公式確認待ち。
130,電機・半導体,アドバンテスト,2026-05-13,initial_hypothesis,5,4,4,4,4,4,3,3,4,4,4,3.96,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争",初期仮説。 強み: industry_growth。 新卒マイページは公式確認待ち。
131,電機・半導体,ディスコ,2026-05-13,initial_hypothesis,5,4,4,4,4,4,3,3,4,4,4,3.96,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争",初期仮説。 強み: industry_growth。 新卒マイページは公式確認待ち。
132,消費財・食品・日用品,カゴメ,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
133,消費財・食品・日用品,森永乳業,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
134,消費財・食品・日用品,江崎グリコ,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
135,消費財・食品・日用品,キッコーマン,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
136,消費財・食品・日用品,P&Gジャパン,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
137,製薬・ヘルスケア,協和キリン,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,4,4,4,4,3.93,"高付加価値, 研究開発, 社会貢献性","研究開発リスク, 職種要件, 薬価制度",初期仮説。 新卒マイページは公式確認待ち。
138,製薬・ヘルスケア,小野薬品工業,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,4,4,4,4,3.93,"高付加価値, 研究開発, 社会貢献性","研究開発リスク, 職種要件, 薬価制度",初期仮説。 新卒マイページは公式確認待ち。
139,製薬・ヘルスケア,テルモ,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,4,4,4,4,3.93,"高付加価値, 研究開発, 社会貢献性","研究開発リスク, 職種要件, 薬価制度",初期仮説。 新卒マイページは公式確認待ち。
140,広告・エンタメ・メディア,東宝,2026-05-13,initial_hypothesis,3,4,3,4,4,4,3,2,4,4,4,3.59,"企画力, IP・ブランド, クリエイティブ経験","労働負荷, 市場構造変化, 人気集中",初期仮説。 要確認: work_life_balance。 新卒マイページは公式確認待ち。
141,広告・エンタメ・メディア,ソニー・ミュージックグループ,2026-05-13,initial_hypothesis,3,4,3,4,4,4,3,2,4,4,4,3.59,"企画力, IP・ブランド, クリエイティブ経験","労働負荷, 市場構造変化, 人気集中",初期仮説。 要確認: work_life_balance。 新卒マイページは公式確認待ち。
142,広告・エンタメ・メディア,テレビ朝日,2026-05-13,initial_hypothesis,3,4,3,4,4,4,3,2,4,4,4,3.59,"企画力, IP・ブランド, クリエイティブ経験","労働負荷, 市場構造変化, 人気集中",初期仮説。 要確認: work_life_balance。 新卒マイページは公式確認待ち。
143,広告・エンタメ・メディア,TBSテレビ,2026-05-13,initial_hypothesis,3,4,3,4,4,4,3,2,4,4,4,3.59,"企画力, IP・ブランド, クリエイティブ経験","労働負荷, 市場構造変化, 人気集中",初期仮説。 要確認: work_life_balance。 新卒マイページは公式確認待ち。
144,不動産・インフラ,JR西日本,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"資産性, 社会インフラ, 大規模案件","景気・金利影響, 配属地, 規制対応",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
145,不動産・インフラ,JR東海,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"資産性, 社会インフラ, 大規模案件","景気・金利影響, 配属地, 規制対応",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
146,不動産・インフラ,NTT都市開発,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"資産性, 社会インフラ, 大規模案件","景気・金利影響, 配属地, 規制対応",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
147,不動産・インフラ,森ビル,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"資産性, 社会インフラ, 大規模案件","景気・金利影響, 配属地, 規制対応",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
148,不動産・インフラ,鹿島建設,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"資産性, 社会インフラ, 大規模案件","景気・金利影響, 配属地, 規制対応",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
149,不動産・インフラ,大成建設,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"資産性, 社会インフラ, 大規模案件","景気・金利影響, 配属地, 規制対応",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
150,不動産・インフラ,関西電力,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"資産性, 社会インフラ, 大規模案件","景気・金利影響, 配属地, 規制対応",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
